Knowledge Base Article Title	16-Mar	16-Feb	16-Jan	15-Dec	15-Nov	15-Oct	15-Sep	15-Aug	15-Jul	15-Jun	15-May	15-Apr	15-Mar	15-Feb	15-Jan	14-Dec	14-Nov	14-Oct	14-Sep	14-Aug	14-Jul	14-Jun	14-May	14-Apr	14-Mar	14-Feb	14-Jan	13-Dec	13-Nov	13-Oct	13-Sep	13-Aug	13-Jul	13-Jun	13-May	13-Apr	13-Mar	13-Feb	13-Jan	12-Dec	12-Nov	12-Oct	12-Sep	12-Aug	12-Jul	Total
Lifeline Free Cell Phone Service - Low Income & Homeless	40	14	30	24	21	21	25	28	20	18	17	30	14	28	26	18	23	52	53	18	12	21	23	19	24	23	14	6	9	7	5	14	14	6	12	27	26	0	0	0	0	0	0	0	0	782
MUNI - Retrieve items in lost and found	39	40	35	20	29	46	60	55	51	28	42	34	37	26	21	43	45	74	65	31	23	40	35	33	38	29	60	33	22	52	35	46	38	42	67	27	35	19	27	20	34	19	29	58	3	1685
Temporary Sign Program - Eform Instructions	38	34	31	23	28	36	39	44	45	38	35	20	0	29	25	14	26	20	23	27	33	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	621
Delinquent Taxes - Collection Notice Received 	37	92	146	121	24	47	23	70	50	156	70	43	75	339	18	12	9	5	11	10	18	2	13	13	16	21	11	6	10	15	17	5	9	15	15	19	27	6	4	11	7	34	1	2	0	1655
Department of Public Health - Frequently Called Numbers	37	32	25	31	25	26	19	20	15	20	19	18	27	12	12	19	26	32	27	17	22	35	25	29	43	29	28	20	28	35	28	36	28	28	37	42	24	0	0	0	0	1	0	2	0	979
Commuter Shuttle Program (SFMTA)	36	16	22	13	27	41	25	17	44	21	32	38	20	39	29	21	32	30	82	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	651
Free Muni for People with Disabilities - Low and Moderate Income	36	40	32	25	37	67	84	70	125	99	63	75	273	154	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1197
Housing - Mayors Office of Housing - Public Record Requests	36	20	24	19	16	22	15	17	20	13	16	14	12	15	13	9	10	23	20	16	22	10	16	11	25	10	7	16	12	13	10	15	23	14	10	6	11	0	0	0	0	0	0	1	0	582
Non-RPD Park Jurisdiction List	9	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
Human Services Agency - General Information	36	18	38	28	17	26	35	22	26	29	33	29	29	35	45	53	30	35	45	49	39	29	26	37	40	38	34	26	25	36	24	22	25	36	25	30	26	4	4	1	5	2	2	5	1	1200
"MUNI Cable Car fare - adult and youth fare, senior fare"	36	25	29	51	37	24	34	28	47	29	9	5	11	11	7	10	10	20	19	17	9	11	12	12	12	4	6	4	2	5	11	16	16	18	13	7	14	7	6	4	4	5	6	13	3	679
Recology Sunset Scavenger and Recology Golden Gate - San Francisco Curbside Garbage Service	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
What is Business Property Statement (571-L & 571-R)?	36	17	20	4	1	9	7	37	28	2	24	10	21	3	4	0	0	1	2	13	12	6	6	8	10	6	0	1	0	3	0	2	0	0	12	9	9	2	0	0	0	1	0	0	0	326
Assessor Recorder - Change of Mailing Address (pdf)	35	29	29	52	102	123	34	37	80	42	20	36	44	36	30	54	104	93	36	54	84	56	51	39	34	29	35	37	80	84	44	59	62	55	34	42	48	36	38	35	92	130	24	59	8	2365
Project 20 Fine Alternatives Program	35	34	24	29	45	48	44	20	19	19	24	34	33	32	26	26	19	28	38	17	19	16	17	21	16	17	25	16	15	24	24	18	21	15	31	11	27	19	25	26	16	19	20	39	4	1095
Request pick up of dead animal - Non-emergency care	35	30	37	26	34	43	44	39	22	7	15	10	27	10	9	15	18	15	16	24	10	11	11	21	17	13	21	10	16	18	31	15	18	24	16	18	18	7	16	8	13	13	26	15	0	862
Samtrans	35	31	37	27	40	36	42	40	37	35	43	29	35	29	26	32	40	36	49	44	44	34	47	32	42	36	48	39	42	63	42	46	62	46	56	49	34	31	50	39	48	61	49	64	8	1835
Sand Bag Pickup Information	34	10	76	162	114	69	39	14	6	7	13	6	15	32	9	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692
How to Use a Clipper Card on Muni	33	31	29	33	21	30	37	45	46	39	15	20	31	24	24	15	15	20	22	27	18	23	22	32	46	20	30	18	21	35	41	43	24	27	33	33	24	5	4	4	1	3	5	8	0	1077
"Large Vehicle Parking - RV, Mobile Home, Travel and Semi-Trailer, etc."	33	3	10	3	15	13	19	13	8	7	15	8	14	6	3	8	3	7	5	23	13	14	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254
Recycling Centers - Where Can I Recycle Specific Items?	33	37	33	26	19	27	23	30	29	27	20	29	31	37	36	42	46	28	38	39	43	38	31	31	27	32	27	24	26	55	46	49	52	31	21	31	25	11	7	0	0	0	0	0	0	1237
"Dissolution (Divorce), Annulment, Legal Separation All Matters"	32	26	23	19	8	21	15	13	14	11	17	27	15	16	12	16	15	23	17	13	16	20	25	7	28	11	18	13	12	24	13	16	11	19	20	27	20	17	13	11	12	14	15	21	1	757
FAQ - How do I get a copy of my divorce papers?	32	28	24	29	9	13	20	23	23	21	18	21	20	22	18	14	13	21	30	15	18	18	29	30	19	15	28	22	24	36	22	28	24	22	24	20	17	33	25	23	31	24	13	15	1	975
MUNI - Passenger Service & Complaints	32	18	29	22	24	39	38	60	29	27	43	56	46	32	37	31	51	41	54	36	38	39	35	49	41	31	39	36	27	48	35	36	37	28	34	25	34	40	23	20	27	24	29	35	3	1558
Red Light Camera Citations - Pay or Protest a Citation	32	5	12	23	22	15	9	12	17	19	10	21	18	23	25	7	18	5	16	17	12	15	9	10	9	6	13	10	9	9	10	21	11	13	5	9	18	3	7	1	3	5	5	3	0	542
Residential Parking Permits - Short-Term/ Temporary	32	23	37	28	41	22	29	41	26	50	38	40	41	27	34	27	23	25	43	39	74	66	56	109	158	88	60	44	43	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1385
Services Available Online (311 Self Service Portal)	32	10	17	14	18	28	28	38	24	24	24	24	29	24	16	26	12	26	20	30	27	32	32	28	24	27	29	27	27	30	23	22	13	12	19	23	25	2	3	4	5	3	7	9	2	919
MONS Liaison Contact Instructions	31	4	15	5	4	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77
Muni Forward (formerly Transit Effectiveness Project or TEP)	31	16	7	7	15	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	5	2	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	95
Notary Public - Authorization to Issue confidential License	31	33	42	31	10	9	14	9	14	6	4	6	5	4	7	8	5	12	8	8	10	12	7	7	8	8	7	7	4	17	5	7	6	8	7	8	13	6	5	2	7	6	6	3	5	447
"Parking Citations - Outstanding - Payment, Prevent Towing"	31	25	58	52	43	44	70	60	52	70	61	70	66	43	50	51	51	48	53	38	29	24	17	31	23	20	42	61	39	54	77	71	67	61	90	72	79	71	90	47	72	83	108	74	14	2452
PUC - Water Emergencies	31	18	25	49	27	38	28	29	16	34	16	45	42	34	23	37	36	43	29	41	25	29	30	37	33	31	39	28	32	33	29	24	22	24	30	25	28	28	44	36	31	27	23	49	2	1380
Request New Traffic Sign	31	49	24	21	36	41	35	39	47	38	33	42	47	26	32	29	29	42	32	37	28	24	23	31	56	31	43	29	37	12	21	14	10	12	29	7	17	17	13	10	10	9	14	18	1	1226
Amplified Sound Noise Complaints	30	19	22	17	46	57	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269
Assessor Recorder- Transfer of Assessment to a Replacement Property By Senior Citizens (Proposition 60)	30	27	15	23	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112
DBI - Over the Counter Services (Permits)	30	22	24	30	22	27	30	20	24	25	30	26	31	26	28	28	23	24	29	38	29	9	5	5	11	5	8	4	6	5	7	2	7	4	5	6	7	3	0	0	1	0	0	0	0	666
Malfunctioned / Complaint re: Timing Traffic Signal	30	12	14	13	12	12	18	20	6	14	25	25	19	19	8	17	25	23	24	15	19	14	22	9	6	5	13	10	7	4	5	12	4	6	5	3	4	2	1	4	3	2	8	3	1	523
When and Where to Buy Monthly Muni Passes	30	27	25	34	17	24	33	56	50	34	16	18	19	15	43	25	28	37	40	50	35	36	49	22	50	30	32	49	25	27	33	35	38	52	37	28	42	18	12	14	5	9	18	12	4	1333
Dept of Building Inspection	29	18	20	21	21	24	31	21	20	21	13	15	20	12	22	25	20	33	22	21	29	19	17	11	20	16	12	12	10	18	17	34	21	2	0	0	0	0	0	0	0	0	0	0	0	667
Household Hazardous Waste Disposal	29	9	15	6	16	9	13	27	17	8	3	9	19	7	7	14	16	13	8	12	13	12	20	13	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326
SF RecOnline - Rec and Park Programs - Online Account PIN Reset or Account Lockout Instructions	29	14	23	11	7	12	3	14	20	23	26	14	56	63	12	20	15	7	9	27	12	20	12	8	52	11	23	43	22	16	9	16	2	9	10	13	29	6	10	37	0	7	6	24	3	805
Vehicle / Car Alarm Noise Complaints	29	13	27	17	18	25	48	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180
Vehicle Boot Removal 	29	15	18	17	15	35	32	14	31	24	28	35	24	20	33	7	24	43	28	29	20	8	15	19	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	594
"All Fire Hydrant Related Issues (includes leaking fire hydrants, graffiti, etc) "	28	36	22	22	45	35	30	7	0	0	0	0	0	0	0	0	43	0	9	12	0	0	3	0	0	0	0	0	0	0	6	26	32	56	27	44	35	28	39	39	25	22	26	28	2	727
AutoReturn - Vehicles Towed	28	29	31	26	30	33	35	27	24	21	57	88	98	61	85	68	86	88	93	74	105	115	94	64	66	62	78	69	69	67	67	53	68	54	36	45	63	73	56	47	56	67	48	66	7	2677
Complaint - Waste of Water (Wasting Water)	28	35	37	24	46	74	108	118	126	102	112	190	111	43	55	55	145	148	128	140	66	11	8	6	14	10	14	2	5	3	2	1	0	2	3	0	0	3	0	0	4	1	2	4	0	1986
Golden Gate transit bus schedule	28	15	18	23	23	21	37	37	35	24	38	23	27	16	41	34	37	36	22	45	50	53	32	38	41	42	39	30	44	33	52	47	43	65	51	41	48	37	51	45	41	51	66	69	28	1717
Homeless Shelters - Resource Centers for Homeless	28	1	3	0	2	3	0	0	0	0	1	0	0	0	1	1	1	2	0	1	0	1	0	2	1	1	0	0	0	0	1	0	1	0	0	0	2	1	5	3	2	2	1	1	0	68
MTA - MUNI Recruitment Office	28	9	30	20	11	4	4	3	6	4	0	1	8	5	1	1	2	4	2	0	2	3	1	1	3	2	5	2	0	0	6	0	2	2	2	2	5	0	0	0	0	1	0	2	0	184
Treasurer and Tax Collector: Staff/Employee Directory	28	30	38	80	59	58	62	98	80	68	63	63	53	75	67	84	101	96	90	112	118	136	161	136	91	126	97	102	103	166	139	184	347	281	7	0	0	0	0	0	0	0	0	0	0	3599
Garbage/Recycling Collection Noise Complaints	27	8	9	12	14	18	29	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120
Homeowners Exemption	27	18	23	38	63	72	16	22	66	18	17	18	23	20	22	17	44	103	13	29	56	16	19	17	20	20	18	25	46	60	14	43	68	13	14	14	24	17	10	18	32	50	8	29	8	1328
Housing - Affordable Rental Units	27	18	18	14	20	31	27	24	31	10	16	27	14	16	24	8	11	13	14	17	22	20	25	11	22	19	12	15	13	13	13	18	18	12	2	13	12	1	5	2	2	0	0	2	0	652
Internal Revenue Service (IRS) - Tax Forms	27	20	12	14	19	18	10	11	12	30	14	31	24	24	15	8	13	18	10	9	11	25	16	28	22	15	14	2	8	3	12	9	5	9	12	20	18	16	6	11	9	7	2	8	0	627
Mayors Office of Neighborhood Services (MONS) - Complaints or Compliments about MONS	27	16	10	8	22	17	25	20	11	10	6	5	7	8	10	8	9	14	7	9	4	5	6	2	4	6	6	9	2	13	11	13	3	7	12	6	12	9	7	18	12	13	12	29	2	472
New Business Application All Matters	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
Parking Tax - All Matters	27	23	38	55	38	36	30	31	30	30	33	42	62	48	52	57	48	21	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	721
Residential Parking Permits - Renewals	27	16	13	13	10	10	10	17	9	25	15	11	23	12	18	7	23	24	24	29	26	37	28	50	98	68	80	52	36	39	21	31	31	38	52	32	39	34	46	19	40	46	23	13	4	1319
Tax Preparation Assistance - Free	27	20	7	2	0	4	0	2	1	0	1	11	11	11	9	0	1	0	3	14	1	0	2	18	24	26	10	1	1	1	1	1	1	0	10	22	23	23	7	0	0	1	0	0	0	297
Low Water Pressure	26	14	18	21	34	30	18	24	18	17	11	15	36	13	18	29	21	31	23	15	15	24	14	13	27	23	18	28	62	28	18	21	23	21	22	15	31	13	22	16	29	18	35	41	1	1010
Mayors Office of Neighborhood Services (MONS) - Complaints or Compliments for Mayor	26	15	4	6	7	8	12	7	10	7	10	5	1	7	10	4	11	15	4	10	3	6	2	4	2	7	5	10	1	12	6	8	6	10	5	5	8	3	4	9	4	9	5	12	0	325
Online Building Construction (Private) Permit and Complaint Tracking	26	19	17	7	11	19	16	27	15	8	21	14	13	19	14	13	14	18	18	12	10	10	10	6	8	5	10	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389
Sewer System Master Plan	26	11	11	6	5	2	5	2	7	4	2	3	1	1	6	4	1	2	5	5	2	3	2	2	7	1	7	3	3	5	1	4	3	5	3	7	4	2	1	1	1	4	0	1	0	181
Complaints - County Clerks Office	25	11	27	29	32	26	21	23	28	24	29	23	26	26	18	26	22	31	28	16	24	15	16	20	24	19	18	9	14	16	21	20	28	19	24	23	20	22	20	12	19	21	15	21	3	954
Did the Officiant send in my marriage license to be recorded?	25	18	11	26	6	15	2	6	4	6	7	10	9	4	7	2	12	6	11	13	17	9	8	7	7	9	8	12	4	10	16	10	16	10	10	5	17	4	7	1	4	5	4	5	3	408
Dropped Items into Catch Basin	25	17	28	22	20	25	34	15	23	24	31	22	19	41	15	17	20	25	18	20	11	7	29	8	25	18	9	16	10	12	5	10	5	6	7	13	16	17	8	5	5	11	7	15	2	738
"Mayors Office - General Information, Meet with Mayor or Staff - For all questions to the Mayors Office"	25	23	12	27	11	17	20	22	29	14	14	25	23	26	14	19	21	53	39	31	34	42	22	24	28	27	30	31	30	30	36	22	28	18	41	35	40	21	21	21	12	28	25	38	6	1155
"Selling SFMTA (Muni fares, parking meter cards) items information"	25	20	14	15	14	14	11	24	16	22	11	12	9	5	10	10	7	10	12	15	13	14	12	19	21	19	16	14	8	20	19	31	16	51	30	23	19	10	25	13	12	13	15	21	1	731
Superior Court Calendars	25	17	7	14	11	13	4	3	3	4	2	0	4	5	6	0	8	8	4	5	6	4	9	2	9	4	6	1	0	3	0	3	1	1	0	4	4	0	0	0	1	0	0	0	0	201
Taxi - A Card Process (License to drive a taxi aka Taxi Permits)	25	15	33	25	19	31	24	12	15	15	30	13	15	18	18	21	13	18	15	13	20	14	12	18	30	9	33	12	9	20	14	9	26	11	34	17	23	24	20	18	19	8	12	18	0	818
TTX: Gross Receipt/Payroll Tax Quarterly - All Matters	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
CAAP - formerly General Assistance (GA) - General Information	24	9	14	11	24	14	20	12	14	9	20	12	25	13	13	24	21	26	19	17	16	30	15	18	21	11	16	10	11	25	12	9	19	17	10	15	19	3	8	7	5	6	7	8	4	663
CityPASS for San Francisco	24	5	9	13	0	1	1	7	1	6	2	1	2	4	1	1	3	3	1	7	5	0	1	4	5	1	2	0	0	3	3	5	1	4	3	2	2	1	0	0	0	1	0	1	0	136
Parking Tickets - Pay by Phone	24	17	16	9	13	16	26	18	13	17	10	13	20	12	26	20	22	43	30	45	25	31	37	40	37	43	32	27	23	30	31	32	26	35	31	29	27	39	22	16	19	21	16	22	6	1107
Request Copy of Business License/Lost or Destroyed	24	16	8	22	30	52	18	27	23	26	45	37	39	24	12	13	7	16	6	17	18	12	22	31	38	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589
Request Medi-Cal Information	24	22	21	19	20	16	22	26	21	8	20	23	25	24	21	16	14	43	48	34	34	36	26	47	64	36	39	36	21	60	21	32	18	26	16	18	22	21	21	15	11	19	19	31	4	1160
Construction Permit Information - Public Property / Right of Way (Street Space Permit)	23	13	20	17	18	21	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136
MediaFunnel Lead Procedure for Twitter Messages	23	20	35	16	16	28	17	39	48	42	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342
Post Office Locator	23	27	16	29	29	21	19	17	15	17	17	29	20	25	22	25	30	29	22	22	15	16	19	32	20	16	16	28	32	15	16	16	17	11	26	24	15	17	16	33	17	32	12	19	0	934
Water Quality - Cloudy or milky	23	10	4	4	3	3	10	0	2	8	2	0	4	2	5	9	2	1	2	5	1	0	4	5	3	9	6	4	11	6	4	6	3	0	7	8	7	7	5	5	17	5	3	4	3	232
What new construction is reappraised?	23	2	0	2	0	0	0	0	1	1	1	10	7	7	0	0	0	0	0	0	0	0	1	3	5	5	0	0	0	1	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	76
California ID - How to get one	22	16	6	19	13	11	19	16	17	16	9	13	15	14	21	13	18	13	13	12	14	19	9	15	10	9	15	14	20	27	17	16	23	9	17	14	17	7	10	3	4	8	5	4	0	602
Freeway Maintenance	22	2	3	3	1	3	5	6	8	6	1	1	2	3	6	13	3	10	3	8	2	10	6	3	9	3	5	1	3	6	3	5	5	4	5	3	3	1	4	2	1	1	1	1	0	196
"No Dumping, No Dog Pooping, No Garbage Signs"	22	19	21	11	15	18	10	18	16	23	21	11	23	15	12	9	8	6	4	9	11	4	18	10	9	10	13	12	12	13	21	11	7	16	15	12	13	18	21	6	9	12	11	20	3	598
SF311 Mobile App FAQ	22	47	33	14	17	12	10	16	12	3	4	6	9	17	13	9	7	15	18	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299
SFMTA Customer Service Center	22	20	16	16	15	22	24	10	7	11	9	11	18	16	17	21	33	34	21	26	46	29	34	29	42	29	20	37	23	17	45	24	23	14	15	5	11	2	4	4	0	3	1	3	0	829
Airplane Helicopter Drone Noise Complaints	21	37	24	12	19	57	46	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217
Fire Department - Ambulance Billing Questions or Complaints	21	14	13	20	15	18	16	17	15	13	18	12	18	20	19	15	23	22	11	7	9	13	9	6	16	15	9	9	14	5	7	2	11	9	16	16	12	6	7	7	3	5	3	6	0	542
Mayor's Office Staff Directory 	21	16	11	7	6	17	16	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113
Name Changes (self or for a child)	21	28	28	13	10	12	20	19	24	17	20	35	18	9	21	20	13	22	15	17	30	10	12	16	13	17	9	10	11	10	13	24	8	13	15	17	18	8	12	2	5	0	5	4	0	664
Pay by Phone Parking Meters Information	21	24	21	19	15	15	23	17	12	14	18	18	9	14	32	25	28	44	35	46	38	46	46	49	56	59	71	50	57	45	50	53	59	51	47	48	56	46	31	23	22	22	20	16	3	1514
"Public Library - General inquiries (e.g., library hours, library locations, library maps, bookmobile hours, days closed etc.)"	21	10	24	18	24	17	20	15	12	14	28	35	23	14	21	24	22	17	28	15	17	16	27	23	23	25	20	18	18	15	19	18	25	24	12	13	15	8	20	9	11	11	11	7	5	812
RV Trailer Parking within SF	21	4	7	5	7	8	11	11	7	8	6	6	6	4	3	3	8	7	6	23	9	4	7	8	5	5	4	4	5	5	12	21	4	10	4	11	8	7	0	4	6	3	7	2	0	316
Speed Humps or Speed Bumps	21	16	14	15	21	20	21	22	21	6	12	11	28	11	16	11	8	7	14	8	15	11	6	11	10	9	10	1	8	7	4	7	11	12	13	10	11	5	6	2	6	4	5	8	0	495
Street Repaving/Resurfacing Information	21	14	7	8	7	9	12	11	10	18	14	15	17	4	10	12	12	18	11	9	13	13	21	15	14	7	7	6	10	20	12	19	13	15	20	14	9	7	4	0	5	5	3	1	0	492
City Hall (Building and its Operations)  - Public Information Requests	20	15	17	18	16	14	10	14	19	20	14	20	23	8	9	30	22	24	14	22	20	16	18	16	29	16	13	22	21	23	16	11	24	23	21	26	24	26	13	22	24	18	15	20	4	830
County Clerk - Public Records Requests	20	14	25	38	23	22	26	19	21	17	18	20	22	17	20	29	20	29	21	20	21	13	22	16	27	14	13	11	17	16	22	18	32	19	20	16	26	21	22	10	17	12	9	21	3	879
How to Start a Business in San Francisco	20	22	18	11	26	19	9	14	19	12	24	34	22	17	36	17	40	21	21	23	29	34	33	45	37	26	36	19	24	27	30	34	34	40	38	40	45	2	15	2	17	24	16	22	2	1096
"Muni - Reroutes, Street Closures, Events, Transit Alerts, Announcements"	20	17	42	13	31	32	57	23	20	20	27	35	10	18	21	16	28	26	25	32	18	21	21	21	22	13	20	7	16	23	20	24	20	17	24	14	13	16	21	25	21	44	24	23	1	1002
Office of Small Business	20	17	15	8	12	16	14	19	11	23	18	25	17	28	18	5	3	7	5	5	7	1	3	10	29	17	18	7	16	14	10	8	16	10	22	25	10	2	5	0	1	3	2	5	2	529
Office of Small Business - Starting a Business in San Francisco 	20	32	21	20	39	45	28	21	23	20	34	31	30	36	31	30	52	52	54	33	37	37	66	67	33	25	37	25	21	26	23	27	18	22	34	26	47	20	26	26	22	23	13	15	3	1371
Permits/ Advertising A-Frames- Minor Sidewalk Encroachment	20	16	12	9	32	3	6	0	0	0	5	4	3	0	1	2	2	1	1	0	1	1	0	0	3	4	0	2	0	7	4	6	3	1	4	1	8	0	0	0	0	0	0	0	0	162
SF Paratransit Services (Disabled Van and Taxi Service)	20	19	25	25	27	24	23	31	30	25	35	48	32	33	46	30	36	55	45	48	28	47	34	46	44	28	32	31	40	41	28	36	34	44	44	29	29	27	44	25	33	35	30	35	0	1501
SFMTA Muni Transit Vehicle Street Safety Mirrors	20	17	20	18	9	12	20	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125
SFUSD - Proposition B Senior Exemption Program	20	13	7	10	46	136	12	24	56	41	71	29	14	8	13	8	11	8	2	0	14	8	4	9	8	0	6	2	13	19	1	16	33	20	30	10	4	6	0	3	11	15	1	8	0	770
CCSF Employee Retirement System (Retirement Board)	19	31	23	22	9	25	29	14	16	15	9	26	35	21	23	13	22	38	23	20	19	21	17	32	24	14	15	16	16	16	32	22	17	24	31	26	20	5	20	8	6	6	5	11	1	857
Community Boards - Conflict Resolution Services	19	19	28	38	23	28	22	29	19	34	16	18	28	23	33	25	21	34	43	32	25	28	24	20	28	12	23	22	27	35	32	30	24	28	25	30	17	19	19	20	9	36	25	23	5	1118
Complaint - Sidewalk - Utility cover missing or damaged	19	14	11	12	14	6	9	6	6	8	12	6	10	10	7	2	2	6	11	13	16	9	13	2	2	7	0	5	1	3	21	9	7	4	5	8	5	3	2	1	0	3	1	3	0	314
Controllers Office - General Information	19	12	17	14	16	11	22	9	23	8	7	13	9	12	13	7	9	15	12	10	12	8	6	7	8	6	6	4	5	5	5	6	7	7	4	7	4	3	1	2	4	6	6	19	3	409
Department of Elections- General Information	19	7	1	1	27	50	10	5	3	4	4	1	4	1	2	3	42	36	11	5	6	24	12	4	12	1	3	2	23	22	5	4	4	5	4	4	2	4	5	6	67	68	25	15	0	563
"Golden Gate Bridge, Highway and Transportation District (Golden Gate Transit)"	19	14	15	25	22	21	28	38	52	31	31	25	28	16	35	35	24	39	28	35	38	31	42	16	25	22	26	23	26	37	28	47	51	37	37	40	40	17	14	7	12	11	18	36	5	1247
Human Services Agency - HSA Facilities	19	16	19	14	4	8	11	12	9	5	11	9	6	12	13	14	12	14	14	14	3	4	6	9	19	9	5	7	6	3	1	3	4	6	3	2	5	4	4	4	5	3	0	1	0	352
Illegally Reserving Street Parking Space(s)	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
Mayors Office of Neighborhood Services (MONS) - Proclamations and certificates of honor	19	4	1	0	0	2	5	12	3	3	6	1	0	5	1	2	2	3	6	2	7	3	5	2	3	5	8	1	2	11	3	1	2	2	3	5	7	4	3	1	2	6	5	13	0	181
"Pick up dead rats, mice, pigeons and other small birds on public property"	19	21	19	17	11	36	32	28	14	18	19	13	17	5	11	9	11	19	10	14	4	11	11	24	5	4	9	5	10	8	12	16	15	9	8	15	5	2	12	8	5	26	16	7	2	592
Policy Suggestions for Mayor	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	14
"Property Tax - Condo Conversion, Bill Segregation"	19	9	7	27	27	36	15	13	10	8	15	9	13	21	11	18	15	25	9	12	8	6	8	10	13	22	14	8	11	16	7	8	15	8	12	9	6	2	1	1	1	2	1	2	1	511
Sidewalk Public Toilet Maintenance - JC Decaux	19	15	10	11	20	5	20	7	7	11	9	6	7	6	3	9	6	16	4	7	5	5	7	5	1	1	3	1	6	3	2	4	6	6	3	5	4	2	3	0	0	0	0	0	0	270
Smoking-Related Code Violations (Second-Hand Smoke)	19	14	16	15	18	23	46	51	28	23	16	9	27	35	28	25	26	42	29	27	35	17	49	31	26	20	27	28	30	38	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	840
Social Security Administration - Local Office Search	19	27	17	18	18	19	20	15	18	16	21	21	29	16	22	22	21	24	20	25	32	17	21	16	34	33	28	27	27	36	21	24	28	24	38	43	26	28	37	26	26	23	26	21	5	1075
Traffic Citation (Violation) Fees	19	9	11	12	14	19	15	15	15	12	14	20	19	11	12	18	18	31	19	13	7	9	8	9	14	11	9	10	9	9	9	4	9	8	8	5	3	7	4	1	6	1	6	11	1	494
Water Quality - Taste or smell different	19	16	4	7	10	17	11	6	10	4	8	7	8	6	12	7	11	13	19	12	10	10	5	8	5	15	11	9	8	11	6	6	5	20	18	6	6	13	16	19	9	11	14	18	3	469
